,Район,Процент,Класс,Центроид
0,Василеостровский,1.0,1,"[59.934148918714335, 30.234800075556624]"
1,Выборгский,1.7,2,"[60.069598044561886, 30.224982381746475]"
2,Калининский,0.5,1,"[60.00974960079171, 30.401165511843804]"
3,Кировский,1.5,2,"[59.88982485437303, 30.207139439547387]"
4,Колпинский,0.7,1,"[59.77311075119309, 30.550813866406266]"
5,Красногвардейский,1.3,2,"[59.98813487377269, 30.49917245551467]"
6,Красносельский,2.0,2,"[59.79163513052805, 30.136524844462514]"
7,Кронштадтский,0.9,1,"[59.99981784272701, 29.753135942864507]"
8,Курортный,0.2,1,"[60.157912307979416, 29.834150475656923]"
9,Московский,2.1,2,"[59.83882872526535, 30.31409328421353]"
10,Невский,3.7,3,"[59.882448278996165, 30.46081767122206]"
11,Петроградский,0.7,1,"[59.96908012730104, 30.247664658908196]"
12,Петродворцовый,1.5,2,"[59.875313294272544, 29.93919828294067]"
13,Приморский,2.5,3,"[60.00524251888794, 30.112540474724803]"
14,Пушкинский,2.4,2,"[59.720463118580206, 30.43981514315694]"
15,Фрунзенский,1.3,2,"[59.86224828463248, 30.39077243282435]"
16,Центральный,0.4,1,"[59.9329806544654, 30.348466139930746]"
17,Адмиралтейский,0.0,1,"[59.907410101929315, 30.293957623717255]"
